Sample_No,Sample_date,SourceNo,Rep,SingleSamp,Town,arsenic,fluoride,manganese,nitrate,nitrite,uranium,Latitude,Longitude
D024962001,16-Jun-08,2,b,,Blanchard Twp,0.56,0.1,0.0095,1.1,0.025,,,
D024961001,16-Jun-08,2,c,,Blanchard Twp,5.4,0.3,0.053,0.005,0.025,5.9,,
A018317001,30-Aug-05,68,a,Y,Blue Hill,0.1,0.1,0.31,0.1,0.005,0.25,44.36281716,-68.55149326
A014636001,25-Jul-05,21,a,,Blue Hill,0.1,,,,,,44.37328505,-68.56728552
A020430001,21-Sep-05,28,a,Y,Blue Hill,21,0.37,0.58,0.05,0.005,5.1,,
A021006001,11-Oct-05,45,a,Y,Blue Hill,16,,,,,,,
A005925001,25-May-05,17,a,Y,Blue Hill,1.1,0.1,0.0031,4.05,0.005,0.25,,
A006212001,31-May-05,37,a,Y,Blue Hill,3.6,0.1,0.0036,0.14,0.005,1.4,,
A017763001,04-Jan-06,70,a,Y,Blue Hill,3.2,0.1,1.3,0.05,0.005,0.25,,
A019636001,31-Aug-05,55,a,Y,Blue Hill,0.1,0.23,0.0056,0.13,0.005,0.8,,
A020042001,28-Sep-05,23,a,Y,Blue Hill,2.1,0.1,0.015,0.45,0.005,1.1,44.3539225,-68.54860038
A024662001,08-Nov-05,26,a,,Blue Hill,46,,1.3,0.05,0.005,1,44.41403686,-68.59965009
A026316001,15-Nov-05,62,a,Y,Blue Hill,120,0.33,0.049,0.05,0.005,0.7,,
A029096001,20-Dec-05,63,a,Y,Blue Hill,17,0.1,0.005,0.05,0.005,0.005,,
B002770001,23-Jan-06,46,a,Y,Blue Hill,0.6,0.1,0.0012,0.1,0.005,0.25,,
B021092001,26-Jun-06,14,a,Y,Blue Hill,3.1,0.1,1.1,0.5,0.005,0.25,44.35671238,-68.54880565
B006655001,22-Feb-06,53,a,,Blue Hill,28,,,,,,,
B020323001,16-Oct-06,67,a,Y,Blue Hill,19,0.7,0.015,0.5,0.005,0.25,44.41428134,-68.60675322
B017001001,16-May-06,57,a,,Blue Hill,4.1,,,0.5,,0.25,,
B014424001,27-Apr-06,69,a,Y,Blue Hill,9.2,1.66,0.0095,0.05,0.005,0.25,44.41817092,-68.61378938
B015557001,02-May-06,6,a,Y,Blue Hill,34,0.98,0.0012,0.1,0.005,7.6,,
B019700001,07-Aug-06,41,a,,Blue Hill,79,3.2,,0.5,,,,
B020010001,12-Jun-06,39,a,Y,Blue Hill,7.6,0.7,0.0009,0.5,0.005,0.5,,
B023691001,28-Jun-06,64,a,,Blue Hill,17,,,,,,,
B023867001,05-Jul-06,71,a,Y,Blue Hill,9.9,0.1,0.12,0.5,0.005,2.2,,
B020012001,08-Jun-06,16,a,,Blue Hill,15,,,,,,,
B017302001,21-May-07,44,a,Y,Blue Hill,36,0.88,0.033,0.5,0.005,0.5,44.41062708,-68.60132988
B027971001,04-Oct-06,12,a,Y,Blue Hill,14,0.63,0.001,0.5,0.005,4.1,,
B024880001,07-Aug-06,75,a,,Blue Hill,330,,,,,,,
B029124001,29-Aug-06,20,a,Y,Blue Hill,21,,,,,,,
B038267001,27-Nov-06,50,a,Y,Blue Hill,0.1,0.75,0.00059,0.5,0.005,0.25,44.44169426,-68.56089848
B038488001,27-Nov-06,35,a,,Blue Hill,39,1.06,,0.5,0.005,27,,
B040380001,11-Dec-06,74,a,Y,Blue Hill,0.78,0.27,0.16,0.5,0.005,0.25,,
B014884001,18-Oct-07,54,a,Y,Blue Hill,26,0.6,0.044,0.005,0.005,0.25,44.41395192,-68.60948767
C008875001,14-Jun-07,13,a,Y,Blue Hill,3.6,,0.19,0.5,0.005,0.25,,
B026942001,24-May-07,76,a,,Blue Hill,23,,,,,,,
C015992001,24-Apr-07,18,a,Y,Blue Hill,4.4,,,,,,44.44201102,-68.56075752
B027265001,26-Jun-07,77,a,,Blue Hill,500,,,,,,,
B027275001,26-Jun-07,78,a,,Blue Hill,54,,,,,,,
C004911001,26-Mar-07,5,a,Y,Blue Hill,41,0.78,0.00025,0.5,0.005,11,44.44127677,-68.60180652
C006776001,07-May-07,47,a,Y,Blue Hill,23,1.67,0.0024,0.5,0.005,11,,
C014721001,23-Apr-07,7,a,Y,Blue Hill,0.1,0.29,0.0041,0.5,0.005,,,
C017580001,21-May-07,48,a,Y,Blue Hill,7.3,0.61,0.095,0.5,0.005,1.8,44.39224224,-68.58224173
C025392001,25-Jun-07,25,a,Y,Blue Hill,0.1,0.05,0.01,0.03,0.005,0.25,44.38148559,-68.56531715
C031221001,16-Jul-07,29,a,Y,Blue Hill,0.1,2,0.013,0.005,0.005,0.25,,
C035294001,06-Aug-07,9,a,Y,Blue Hill,45,0.3,0.11,0.02,0.005,4.3,,
C044226001,24-Sep-07,56,a,Y,Blue Hill,4.8,0.5,0.0013,0.06,0.005,2.4,,
C033095001,22-Jul-08,72,a,Y,Blue Hill,28,0.6,0.074,0.005,0.005,0.98,,
D015128001,10-Jul-08,30,a,,Blue Hill,8.9,,,,,,44.39159835,-68.5771525
C056663001,04-Dec-07,61,a,Y,Blue Hill,0.1,0.1,0.013,0.03,0.005,0.25,44.41397119,-68.60284142
C049346001,14-Jan-08,19,a,Y,Blue Hill,4.8,0.1,0.0088,0.005,0.005,0.25,,
D005054001,11-Mar-08,10,a,,Blue Hill,0.97,,,1.1,,1.1,44.40476012,-68.56885129
D008435001,26-Feb-08,38,a,,Blue Hill,14,0.2,0.0036,0.22,0.01,10,,
D010583001,12-Mar-08,8,a,Y,Blue Hill,17,0.3,0.00079,0.005,0.01,0.25,,
D053025001,12-Nov-08,51,a,Y,Blue Hill,24,0.4,0.0093,0.005,0.025,0.25,,
D020952001,10-Jun-08,3,a,Y,Blue Hill,37,0.1,0.00097,1.2,0.025,2.9,,
E017099001,22-Apr-09,66,a,Y,Blue Hill,6.7,0.8,0.041,0.025,0.025,0.68,,
D023846001,11-Jun-08,65,a,Y,Blue Hill,13,0.2,0.24,0.005,0.025,1,,
D037703001,27-Aug-08,52,a,,Blue Hill,260,,,,,,,
D053812001,09-Dec-08,43,a,Y,Blue Hill,5,0.4,0.026,1.6,0.025,3.8,,
E031378001,01-Jul-09,59,a,Y,Blue Hill,4.4,0.3,0.19,0.025,,1.2,,
D031466001,20-Aug-08,2,a,Y,Blue Hill,12,0.4,0.028,0.005,0.025,0.84,,
D029174001,07-Jul-08,15,a,Y,Blue Hill,120,,,,,,,
E011054001,12-May-09,36,a,Y,Blue Hill,19,2.5,0.00025,0.025,0.025,27,44.35761957,-68.59056866
D039753001,02-Sep-08,31,a,Y,Blue Hill,15,1.4,0.0082,0.005,0.025,0.54,,
D040283001,08-Sep-08,24,a,Y,Blue Hill,10,1,0.061,0.005,0.025,0.25,44.36117929,-68.55502972
D038836001,26-Aug-08,27,a,,Blue Hill,2.6,,,,,,44.41325059,-68.58984443
D041233001,17-Feb-09,11,a,,Blue Hill,9.1,0.05,0.051,2.3,0.025,0.25,44.44837278,-68.61958981
D057718001,06-Jan-09,60,a,,Blue Hill,290,,,,0.025,,,
E006520001,11-Mar-09,22,a,Y,Blue Hill,24,0.8,0.054,0.005,0.025,0.8,44.41037697,-68.6009268
E024918001,10-Jun-09,49,a,Y,Blue Hill,1,0.05,0.00057,0.89,,0.25,44.44571306,-68.62261938
E020095001,04-May-09,4,a,Y,Blue Hill,22,0.5,0.0012,0.08,0.025,11,44.44034718,-68.60974731
E022641001,27-May-09,58,a,Y,Blue Hill,100,0.9,0.69,0.025,0.025,3,,
E008956001,24-Mar-09,1,a,,Blue Hill,2.2,,,,,,,
E023497001,01-Jun-09,33,a,Y,Blue Hill,0.1,2.4,0.00025,0.025,0.04,0.25,,
E023517001,03-Jun-09,32,a,Y,Blue Hill,0.1,0.1,0.00067,1.4,0.05,0.25,,
E023535001,01-Jun-09,34,a,Y,Blue Hill,82,3.1,0.00058,0.07,0.05,5.2,,
A017437001,29-Aug-05,35,b,,Blue Hill,39,,0.06,,,,,
B006656001,08-Mar-06,53,b,,Blue Hill,1.7,,,,,,,
B020011001,08-Jun-06,16,b,,Blue Hill,5.4,,,,,,,
B024880002,07-Aug-06,75,b,,Blue Hill,320,,,,,,,
B026942002,24-May-07,76,b,,Blue Hill,22,,,,,,,
C034519001,08-Aug-07,21,b,,Blue Hill,540,,,,,,44.37328505,-68.56728552
B027265002,26-Jun-07,77,b,,Blue Hill,490,,,,,,,
B027275002,26-Jun-07,78,b,,Blue Hill,52,,,,,,,
C021687001,05-Jun-07,57,b,,Blue Hill,4.2,0.83,0.078,,,,,
D007372001,12-Feb-08,11,b,,Blue Hill,2.6,,,,,,44.44837278,-68.61958981
C049345001,14-Jan-08,26,b,,Blue Hill,31,0.6,,,,,44.41403686,-68.59965009
D005055001,12-Mar-08,10,b,,Blue Hill,0.1,0.1,0.017,,,0.25,44.40476012,-68.56885129
D015127001,10-Jul-08,30,b,,Blue Hill,11,,,,,,44.39159835,-68.5771525
D022022001,20-May-08,1,b,,Blue Hill,14,,,,,,,
D043124001,22-Sep-08,27,b,,Blue Hill,15,0.1,0.00091,0.16,0.025,1.8,44.41325059,-68.58984443
D037702001,18-Aug-08,52,b,,Blue Hill,930,0.5,0.87,0.01,0.025,0.25,,
D036096001,23-Sep-08,41,b,,Blue Hill,210,,0.0042,0.01,0.025,23,,
D036504001,26-Aug-08,64,b,,Blue Hill,39,1,0.016,0.15,0.025,25,,
E001445003,16-Jan-09,60,b,,Blue Hill,390,1.7,0.17,0.005,,9.1,,
D026152001,25-Jun-08,38,b,,Blue Hill,0.52,,,,,,,
B019701001,07-Aug-06,41,c,,Blue Hill,42,,,,,,,
D005056001,11-Mar-08,10,c,,Blue Hill,0.1,,,,0.005,,44.40476012,-68.56885129
D022269001,11-Jun-08,57,c,,Blue Hill,4.4,,,,0.025,,,
B024880003,07-Aug-06,75,c,,Blue Hill,110,,,,,,,
B026942003,24-May-07,76,c,,Blue Hill,1.3,,,,,,,
B027265003,26-Jun-07,77,c,,Blue Hill,2.2,,,,,,,
B027275003,26-Jun-07,78,c,,Blue Hill,20,,,,,,,
D040399001,03-Sep-08,27,c,,Blue Hill,1.6,,,,,,44.41325059,-68.58984443
B024880004,07-Aug-06,75,d,,Blue Hill,110,,,,,,,
B026942004,24-May-07,76,d,,Blue Hill,0.1,,,,,,,
B027265004,26-Jun-07,77,d,,Blue Hill,2,,,,,,,
B027275004,26-Jun-07,78,d,,Blue Hill,20,,,,,,,
B024880005,07-Aug-06,75,e,,Blue Hill,0.1,,,,,,,
B026942005,24-May-07,76,e,,Blue Hill,1.2,,,,,,,
B027265005,26-Jun-07,77,e,,Blue Hill,0.1,,,,,,,
B027275005,26-Jun-07,78,e,,Blue Hill,0.83,,,,,,,
C040080001,20-Nov-07,2,a,Y,Biddeford,60,,,,,,43.44798649,-70.37995684
C048230001,16-Oct-07,17,a,Y,Biddeford,59,0.2,0.084,0.02,0.005,1.3,,
C018654001,11-Jun-08,6,a,Y,Biddeford,8.9,0.8,0.0013,0.21,0.005,2.4,43.44773407,-70.43466074
D003692001,23-Jan-08,14,a,Y,Biddeford,5.4,0.9,0.00025,1.6,0.005,11,43.46687257,-70.50403541
C018818001,28-Apr-08,16,a,Y,Biddeford,59,,,,,,43.42842608,-70.40019644
D033549001,28-Jul-08,11,a,Y,Biddeford,6,5.1,0.0037,0.005,0.025,0.61,43.4477583,-70.43406417
D050620001,27-Oct-08,10,a,Y,Biddeford,0.1,0.1,0.0014,0.01,0.025,0.25,43.42197232,-70.39173867
E030089003,30-Jun-09,12,a,Y,Biddeford,69,0.05,0.0061,0.07,,2,43.42334331,-70.37907157
E024190001,01-Jun-09,13,a,Y,Biddeford,1,0.1,0.0011,0.025,0.15,9.3,,
B026999002,22-Jan-07,18,b,,Biddeford,4.8,,,,,,,
C052956001,06-Dec-07,3,b,,Biddeford,1.7,,,,,,,
B026999003,22-Jan-07,18,c,,Biddeford,0.54,,,,,,,
B026999004,22-Jan-07,18,d,,Biddeford,0.1,,,,,,,
B026999005,22-Jan-07,18,e,,Biddeford,9.1,,,,,,,
B026999006,22-Jan-07,18,f,,Biddeford,2,,,,,,,
C037247001,20-Aug-07,1,a,Y,Big Moose Twp,0.1,0.05,0.00025,0.94,0.005,1.4,,
B006014001,01-Mar-06,3,a,,Bingham,3.5,,,,,,45.01965818,-69.85771133
D005688001,28-Apr-08,2,a,,Bingham,1.1,0.05,0.089,0.005,0.005,0.25,45.06747037,-69.87388132
D026925001,25-Jun-08,4,a,Y,Bingham,0.74,0.05,11,0.28,0.025,0.25,,
D032916001,27-Jul-08,1,a,Y,Bingham,2.8,0.1,0.094,0.01,0.025,0.25,,
A027975001,29-Nov-05,2,b,,Bingham,1.3,,,,,,45.06747037,-69.87388132
C057597001,02-Jan-08,3,b,,Bingham,2.8,0.4,0.00099,0.15,0.005,1.2,45.01965818,-69.85771133
A014746001,20-Jul-05,4,a,Y,Blaine,0.1,0.1,0.0024,0.85,0.005,0.25,,
B029191001,28-Aug-06,3,a,Y,Blaine,0.1,0.1,0.00076,3.1,0.005,0.25,,
B039167001,06-Feb-07,2,a,Y,Blaine,0.1,0.1,0.00069,0.5,0.005,0.25,46.47348327,-67.81853653
D041015001,19-Nov-08,1,a,Y,Blaine,0.1,0.1,0.00073,1.4,0.025,0.25,46.4672056,-67.83095596
A010041001,06-Jul-05,1,a,Y,Blanchard Twp,6.2,0.1,0.0007,0.05,0.005,3,,
B026341001,31-Jul-06,2,a,,Blanchard Twp,2.1,,,,,,45.25311834,-69.58093434
C037049001,10-Aug-07,3,a,Y,Blanchard Twp,0.97,0.05,0.009,,0.005,0.25,,
B024880006,07-Aug-06,75,f,,Blue Hill,0.1,,,,,,,
B026942006,24-May-07,76,f,,Blue Hill,0.1,,,,,,,
B027265006,26-Jun-07,77,f,,Blue Hill,330,,,,,,,
B027275006,26-Jun-07,78,f,,Blue Hill,20,,,,,,,
A004870001,12-May-05,1,a,Y,Boothbay,0.1,0.1,0.27,0.05,0.005,0.25,,
A026854001,27-Jun-06,11,a,,Boothbay,2.7,,,,,23,,
A016454001,22-Aug-05,32,a,Y,Boothbay,1.2,0.1,0.48,0.05,0.005,18,,
B004529001,30-Jan-06,46,a,Y,Boothbay,3.4,0.1,0.11,0.05,0.005,2.8,,
B014635001,01-May-06,40,a,Y,Boothbay,0.1,0.1,0.00025,0.05,0.005,4.3,,
B004545001,03-Feb-06,54,a,Y,Boothbay,0.1,0.1,0.21,0.05,0.005,1.3,,
B010380001,26-Apr-06,6,a,Y,Boothbay,1.2,0.24,0.035,0.05,0.005,0.25,,
B010412001,24-Apr-06,17,a,,Boothbay,0.1,0.1,,0.05,,0.25,43.91149827,-69.58856603
B012957001,11-Apr-06,5,a,,Boothbay,0.1,0.21,0.047,0.05,0.005,1.7,,
B014437001,03-May-06,43,a,Y,Boothbay,0.1,0.1,0.027,0.05,0.005,0.7,,
B015011001,30-May-06,24,a,Y,Boothbay,16,,,,,,,
B024144001,11-Jul-06,2,a,Y,Boothbay,0.1,0.1,0.23,0.5,0.005,0.25,43.92209149,-69.63241344
B032781001,02-Oct-06,30,a,,Boothbay,0.1,0.1,0.0051,1,,,43.90410602,-69.61244467
B025145001,17-Jul-06,27,a,Y,Boothbay,0.1,0.42,0.014,0.5,0.005,1.8,,
B028743001,28-Aug-06,18,a,,Boothbay,0.51,,0.64,,0.005,1.1,,
B031031001,03-Oct-06,55,a,,Boothbay,8.5,0.1,0.6,0.5,0.005,0.25,,
B038955001,27-Nov-06,39,a,Y,Boothbay,0.1,0.1,0.0017,1,0.005,0.25,43.92638668,-69.6164359
B035082001,10-Oct-06,3,a,Y,Boothbay,0.1,,,,,0.25,,
B041584001,16-Jan-07,16,a,Y,Boothbay,0.1,0.1,0.00025,1,0.005,24,43.88526814,-69.59462772
C002661001,17-Jan-07,44,a,Y,Boothbay,0.1,0.1,0.016,0.5,0.005,4.4,43.90536478,-69.59484878
B040886001,03-Jan-07,15,a,Y,Boothbay,0.1,0.1,0.012,0.5,0.005,0.25,,
C004242001,05-Feb-07,21,a,Y,Boothbay,0.1,0.1,0.0018,0.5,0.005,3.6,,
C011125001,25-Jul-07,13,a,Y,Boothbay,0.1,0.05,0.0094,0.28,0.005,5.8,43.90799202,-69.63641215
C048711001,09-Oct-07,9,a,Y,Boothbay,1.2,0.1,0.15,0.005,0.005,0.25,,
C023888001,25-Jun-07,7,a,Y,Boothbay,0.1,0.1,0.036,0.005,0.005,3.2,,
C025486001,25-Jun-07,37,a,,Boothbay,0.1,,,,0.005,,43.92432336,-69.65146943
C039064001,03-Sep-07,31,a,Y,Boothbay,4.9,3.9,0.024,0.005,0.005,30,,
C056573001,04-Dec-07,45,a,Y,Boothbay,0.1,0.1,0.00025,0.1,0.005,0.95,,
D024641001,09-Jun-08,49,a,Y,Boothbay,0.1,0.05,0.0063,0.01,0.025,0.25,43.88859265,-69.6262286
D000025001,22-Jan-08,35,a,,Boothbay,0.1,0.1,0.0054,0.99,,,,
D000066001,28-Apr-08,42,a,,Boothbay,10,0.1,0.13,0.005,0.005,14,43.88830743,-69.59037249
C040081001,18-Feb-08,53,a,Y,Boothbay,0.1,,,,,,43.93220845,-69.60151584
D032390001,04-Aug-08,36,a,Y,Boothbay,0.1,,,,,,,
D017292001,23-Apr-08,25,a,Y,Boothbay,0.1,3.4,0.0092,0.005,0.025,7.1,,
D043016001,20-Oct-08,12,a,Y,Boothbay,0.1,0.1,0.018,0.01,0.025,1.2,,
D049067001,20-Oct-08,26,a,Y,Boothbay,0.1,0.2,0.14,0.01,0.025,8.3,,
D023799001,16-Jun-08,52,a,Y,Boothbay,0.1,0.1,0.39,0.005,0.025,0.25,,
D025904001,16-Jun-08,14,a,Y,Boothbay,0.1,0.05,0.0045,1.3,0.025,0.25,43.86979545,-69.67679936
D026435001,18-Jun-08,41,a,Y,Boothbay,0.1,0.1,0.082,0.005,0.025,0.25,43.87659838,-69.60839647
D034698001,19-Aug-08,34,a,Y,Boothbay,0.1,0.05,0.00056,0.31,0.025,2.1,,
D027111001,23-Jun-08,38,a,Y,Boothbay,0.1,0.05,0.0054,0.48,0.025,0.25,43.87175366,-69.67948167
D027835001,30-Jun-08,22,a,Y,Boothbay,17,0.1,0.00055,0.11,0.025,55,43.88898535,-69.59069978
D031030001,21-Jul-08,29,a,Y,Boothbay,0.67,0.1,0.0036,0.01,0.025,150,,
D034991001,04-Aug-08,23,a,Y,Boothbay,0.1,0.1,0.0043,0.005,0.025,0.25,,
D041419001,14-Oct-08,47,a,Y,Boothbay,0.81,0.3,0.013,0.005,0.025,2.2,,
D048025001,08-Oct-08,10,a,Y,Boothbay,0.1,0.1,0.08,0.005,0.025,5.8,43.91832269,-69.65404706
D049435001,22-Oct-08,48,a,Y,Boothbay,0.1,0.05,1.3,0.005,0.025,0.25,,
E030684001,01-Jul-09,8,a,Y,Boothbay,0.1,0.05,0.36,0.025,,17,43.89843236,-69.59941909
D057329003,16-Dec-08,33,a,Y,Boothbay,0.1,0.1,0.0037,0.3,0.025,0.25,,
E013703001,13-Apr-09,28,a,Y,Boothbay,2,0.1,0.2,0.005,0.025,0.25,,
E022267001,15-Jun-09,20,a,Y,Boothbay,0.1,1.2,0.0039,0.025,0.025,0.25,43.8800407,-69.64044914
A026853001,07-Jun-06,11,b,,Boothbay,0.7,0.1,0.21,0.5,0.005,,43.88892807,-69.58978769
B012954001,11-Apr-06,5,b,,Boothbay,0.1,,,0.33,0.005,0.25,,
B032763001,02-Oct-06,18,b,,Boothbay,0.1,0.1,,0.5,,,,
B036427001,23-Oct-06,55,b,,Boothbay,7.4,,,,,,,
D012784001,22-Apr-08,17,b,,Boothbay,0.9,,0.28,,0.025,,43.91149827,-69.58856603
D049581001,29-Oct-08,30,b,,Boothbay,0.1,,,,0.025,0.84,43.90410602,-69.61244467
D043227001,27-May-09,35,b,,Boothbay,0.1,,,,0.025,0.25,,
E026830001,06-Jul-09,37,b,,Boothbay,0.1,0.1,0.4,1.4,,35,43.92432336,-69.65146943
D027138001,23-Jun-08,42,b,,Boothbay,0.1,,,,,0.25,43.88830743,-69.59037249
D057486001,17-Dec-08,19,c,Y,Boothbay,3.8,0.05,0.2,0.005,0.025,0.25,,
C031558001,30-Jul-07,4,a,Y,Boothbay Harbor,0.1,0.05,0.066,0.02,0.005,1,,
C022053001,11-Jun-07,7,a,Y,Boothbay Harbor,0.1,0.1,0.0044,0.5,0.005,0.25,,
D006860001,11-Feb-08,5,a,Y,Boothbay Harbor,0.1,0.1,0.00083,0.01,0.01,1.9,,
D015967001,07-Apr-08,3,a,Y,Boothbay Harbor,0.1,0.1,0.64,0.005,0.025,5.5,,
D041048001,11-Dec-08,2,a,Y,Boothbay Harbor,0.1,0.05,1.2,0.03,0.025,5.3,43.85484711,-69.62920913
D035022001,20-Aug-08,6,a,,Boothbay Harbor,0.1,0.05,1,0.12,0.025,,,
D050890001,17-Nov-08,1,a,Y,Boothbay Harbor,0.1,0.05,0.014,0.04,0.025,11,,
D035019001,20-Aug-08,6,b,,Boothbay Harbor,0.1,0.05,0.82,,,33,,
A005417001,06-Jun-05,30,a,Y,Bowdoin,0.9,0.29,0.06,0.05,0.005,1.2,,
A009502001,17-Jun-05,1,a,Y,Bowdoin,0.1,0.35,0.006,0.05,0.005,0.25,,
A012833001,27-Jul-05,19,a,Y,Bowdoin,0.6,0.72,0.0044,0.1,0.005,7.1,44.03491999,-69.94423575
A012851001,07-Jul-05,17,a,,Bowdoin,1,0.28,,0.05,0.005,,44.01551091,-69.96107937
A018261001,29-Aug-05,33,a,Y,Bowdoin,3.5,0.1,0.15,0.05,0.005,53,44.0402834,-69.99123028
A029346001,08-Dec-05,13,a,Y,Bowdoin,0.1,0.1,0.00025,0.05,0.005,0.25,44.07717817,-69.91582289
B020963001,11-Jul-06,20,a,Y,Bowdoin,0.1,0.1,0.12,0.5,0.005,0.25,44.05787115,-69.91753613
B002509001,03-May-06,38,a,Y,Bowdoin,1.4,0.1,0.034,0.05,0.005,2.3,44.0362304,-69.97099539
B003867001,08-Aug-06,12,a,Y,Bowdoin,0.1,0.1,0.13,0.5,0.005,2.3,,
B005381001,14-Mar-06,2,a,Y,Bowdoin,52,,,,,,44.11797105,-70.00121673
B007877001,20-Mar-06,34,a,Y,Bowdoin,1.1,,,,,,44.02984259,-69.97069357
B013654001,26-Apr-06,6,a,Y,Bowdoin,0.5,0.1,0.003,0.05,0.005,4.3,44.02295889,-69.96996384
B016573001,09-May-06,18,a,,Bowdoin,0.9,,0.0099,1,0.005,,44.01731772,-70.01601967
C010649001,03-Apr-07,2,a,Y,Bowdoinham,2.7,0.46,0.0044,0.5,0.005,3.7,44.04345405,-69.9139337
C008869001,20-Mar-07,14,a,Y,Bowdoinham,0.1,0.1,0.054,0.5,0.005,0.68,44.07604688,-69.88368856
C009676001,12-Mar-07,13,a,Y,Bowdoinham,4.6,0.26,0.027,0.5,0.005,0.25,,
C010479001,16-Mar-07,38,a,Y,Bowdoinham,4.2,0.1,0.096,0.5,0.005,5.7,,
C011586001,05-Sep-07,28,a,Y,Bowdoinham,0.51,0.2,0.037,0.005,0.005,0.25,44.03258217,-69.84554676
C016405001,07-May-07,12,a,,Bowdoinham,0.1,,0.093,,,,44.02360191,-69.86783837
C018726001,30-May-07,1,a,Y,Bowdoinham,6.6,0.29,0.16,0.5,0.005,1.7,43.99311053,-69.89009221
C021375001,05-Jul-07,35,a,Y,Bowdoinham,0.53,0.4,0.1,0.005,0.005,6.9,44.06649679,-69.87479977
C023267001,11-Jun-07,6,a,Y,Bowdoinham,0.1,0.1,0.0029,0.5,0.005,0.25,44.03645045,-69.89934487
C026405001,10-Jul-07,18,a,Y,Bowdoinham,0.1,0.1,0.03,0.005,0.005,0.25,44.02050805,-69.8883685
C033175001,08-Aug-07,24,a,Y,Bowdoinham,2.5,0.1,0.039,0.005,0.005,1,,
D052042001,13-Nov-08,27,a,Y,Bowdoinham,0.85,0.4,0.051,0.005,0.025,0.56,44.08264461,-69.85302612
C039149001,27-Aug-07,11,a,Y,Bowdoinham,0.1,0.05,0.026,0.04,0.005,28,,
C049203001,31-Oct-07,7,a,Y,Bowdoinham,0.55,0.2,0.18,0.005,0.005,0.25,44.04018341,-69.88138975
C049261001,23-Oct-07,22,a,Y,Bowdoinham,0.1,0.1,0.53,0.03,0.005,0.25,44.05107994,-69.84223079
D000062001,28-Aug-08,10,a,Y,Bowdoinham,0.1,0.2,0.36,0.005,0.005,20,43.993527,-69.91809652
D003597001,23-Jan-08,19,a,Y,Bowdoinham,0.1,0.05,0.14,12,0.005,1.8,44.06276088,-69.85862932
D016305001,05-May-08,32,a,Y,Bowdoinham,0.1,0.3,0.00025,0.005,0.025,0.25,,
D048916001,20-Oct-08,21,a,,Bowdoinham,2.7,0.2,0.16,0.005,0.025,33,44.00237535,-69.91409173
D023771001,03-Jun-08,20,a,Y,Bowdoinham,0.1,0.05,0.001,0.01,0.025,18,44.05693057,-69.89502215
D037682001,18-Aug-08,8,a,Y,Bowdoinham,18,0.3,0.034,0.005,0.025,0.25,,
D044064001,30-Sep-08,36,a,Y,Bowdoinham,2.4,0.3,0.085,0.005,0.025,1.6,,
D050022001,23-Nov-08,5,a,Y,Bowdoinham,0.1,0.1,0.099,0.005,0.025,0.25,44.06132594,-69.83326134
D057430001,29-Dec-08,3,a,Y,Bowdoinham,0.1,0.05,0.0052,6.7,0.025,4.4,44.08392179,-69.87037324
D057114001,12-Jan-09,9,a,Y,Bowdoinham,0.1,0.6,0.079,0.005,0.025,0.25,44.03775628,-69.911664
E014850001,08-Apr-09,23,a,Y,Bowdoinham,0.1,0.05,0.00076,1.3,0.025,,,
E017660003,05-May-09,29,a,Y,Bowdoinham,0.1,0.05,0.016,0.05,0.025,1.3,43.99281281,-69.89091732
C016404001,07-May-07,12,b,,Bowdoinham,0.1,0.1,,0.5,0.005,2.6,44.02360191,-69.86783837
D035025001,06-Aug-08,21,b,,Bowdoinham,0.1,,,,,,,
A013054001,18-Jul-05,2,a,Y,Bowerbank,3.6,0.1,0.00025,0.1,0.005,0.9,,
A013143001,05-Jul-05,1,a,Y,Bowerbank,17,0.24,0.00025,0.05,0.005,1,,
A013887001,18-Jul-05,3,a,Y,Bowerbank,0.1,0.1,0.013,0.1,0.005,0.25,,
A030014001,20-Dec-05,3,a,Y,Bradley,0.1,0.25,0.02,0.05,0.005,0.005,44.87830108,-68.65917523
A004663001,16-May-05,10,a,Y,Bradley,0.1,0.1,0.0044,0.24,0.005,1.2,,
A013693001,11-Jul-05,8,a,Y,Bradley,1.7,0.1,0.018,0.05,0.005,1,,
B005562001,14-Feb-06,11,a,Y,Bradley,1.6,0.1,0.00025,0.11,0.005,1.4,44.91097695,-68.60018278
B027758001,09-Aug-06,2,a,Y,Bradley,0.1,0.1,0.0005,0.5,0.005,0.25,44.91548199,-68.62665696
C043487001,24-Sep-07,7,a,Y,Bradley,0.86,0.3,0.0052,0.005,0.005,1.1,,
C049335001,17-Dec-07,1,a,Y,Bradley,0.1,0.05,0.0019,0.1,0.005,0.25,44.88767845,-68.6380576
C036529001,22-Sep-08,14,a,Y,Bradley,0.1,0.05,0.016,6.9,0.005,0.25,,
D017253001,12-May-08,15,a,Y,Bradley,0.1,0.05,0.0021,0.25,0.025,0.73,44.89104307,-68.63851985
D049417001,21-Oct-08,5,a,Y,Bradley,2.8,0.3,0.055,0.005,0.025,1,44.91518567,-68.61439151
D022802001,28-May-08,4,a,Y,Bradley,4.6,0.4,0.0013,0.005,0.025,1.2,44.86941068,-68.66450282
D033266001,18-Aug-08,12,a,Y,Bradley,0.1,0.05,0.0057,0.005,0.025,0.55,,
D038200001,20-Aug-08,6,a,Y,Bradley,0.98,0.3,0.63,0.005,0.025,4.7,44.86960599,-68.66593596
